POST_CODE,CITY_CODE,CITY_NAME,PROV_CODE,ZONE_CODE,COMP_NAME,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
T4V0L2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0L3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0L4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0L5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0L6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0L7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0L8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0L9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0M9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0N2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0N4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0N5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0N6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0N7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0N8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0N9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0P9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0R9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0S8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0T9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0V9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0W8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
